variant,n_train,run_idx,seed,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,train_accuracy,heldout_accuracy,generalization_gap,split_signature,data_signature,hyperparameter_signature,source_type,train_time_s
no_caim,2,6,206,0.7379755922469491,0.7742727269849132,0.737975592246949,0.7131600569881746,1.0,0.7379755973815918,0.2620244026184082,9a2eac7e1d6fdc9b4529a94d82e1cf0aeffa32b9e30c99d0b6ebbbdbdccdd396,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,87.74938910000037
full,2,7,207,0.8173007896625987,0.8299591037907091,0.8173007896625988,0.8160801580010331,1.0,0.8173007965087891,0.18269920349121094,28dafd3c4e88c17610f39b1acc55e9c6e12dd1dba82bfb0336a42b159bc16473,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,97.7883082999997
no_caim,2,7,207,0.5355348169418521,0.5806403561256672,0.5355348169418521,0.5080038997530284,1.0,0.5355347990989685,0.4644652009010315,28dafd3c4e88c17610f39b1acc55e9c6e12dd1dba82bfb0336a42b159bc16473,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,93.62207510000007
full,2,8,208,0.8793969849246231,0.9175573932289638,0.8793969849246231,0.8795064091385479,1.0,0.8793969750404358,0.12060302495956421,5f7497d5976f8471fee990132c20376434188856f5f8a830e822e87a77271035,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,94.56096780000007
no_caim,2,8,208,0.6590093323761665,0.6822744568623911,0.6590093323761665,0.6458191200000482,1.0,0.6590093374252319,0.34099066257476807,5f7497d5976f8471fee990132c20376434188856f5f8a830e822e87a77271035,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,87.60347459999957
full,2,9,209,0.8488872936109118,0.8670102899493327,0.8488872936109118,0.8457120739748655,1.0,0.8488872647285461,0.15111273527145386,75775a4d18b038001cce9df000ff321bb7c0a578c03029dd1d17cfa52509a1cf,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,94.77192819999982
no_caim,2,9,209,0.5168700646087581,0.5452339915463312,0.5168700646087581,0.5114144240769248,1.0,0.5168700814247131,0.48312991857528687,75775a4d18b038001cce9df000ff321bb7c0a578c03029dd1d17cfa52509a1cf,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,97.82466380000005
full,2,10,210,0.6812634601579325,0.8709272263419414,0.6812634601579326,0.7023351670282508,1.0,0.6812634468078613,0.31873655319213867,0b6c1e597636d0bf0fbab2dd3369e486a711a6098481134cc92036327f7068b7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,105.60173630000008
no_caim,2,10,210,0.4694903086862886,0.6149256197831402,0.4694903086862886,0.44015630288302304,1.0,0.46949031949043274,0.5305096805095673,0b6c1e597636d0bf0fbab2dd3369e486a711a6098481134cc92036327f7068b7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,99.94053629999962
full,3,1,301,0.6473551637279596,0.783971759501369,0.6473551637279596,0.654154420365176,1.0,0.6473551392555237,0.3526448607444763,96589d2ef085d70d04b9d561e9e7875effb6194d1ae70e20489afb03ee08a0fc,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,94.26906220000001
