case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
KAIST,2Nm,25,20260807,0.0,TF-SVM late fusion,0.992,0.9920098376524251,0.9920000000000002,0.9920018343776906
KAIST,4Nm,25,20260807,0.0,TF-SVM early fusion,0.872,0.8888479556945803,0.8720000000000001,0.8750218928537359
KAIST,4Nm,25,20260807,0.0,TF-SVM late fusion,0.948,0.9569197550417062,0.9480000000000001,0.947576372526665
KAIST,2Nm,30,20260807,0.0,TF-SVM early fusion,0.9385,0.9430839742038796,0.9385,0.9376392414863972
KAIST,2Nm,30,20260807,0.0,TF-SVM late fusion,0.9955,0.9955012218826369,0.9955,0.9954999929687391
KAIST,4Nm,30,20260807,0.0,TF-SVM early fusion,0.8785,0.9085948727882108,0.8785000000000001,0.8841038937030531
KAIST,4Nm,30,20260807,0.0,TF-SVM late fusion,0.9675,0.9706716417910448,0.9675,0.9675386800378734
KAIST-noise,2Nm,30,20260807,0.0,TF-SVM early fusion,0.9385,0.9430839742038796,0.9385,0.9376392414863972
KAIST-noise,2Nm,30,20260807,0.0,TF-SVM late fusion,0.9955,0.9955012218826369,0.9955,0.9954999929687391
KAIST-noise,2Nm,30,20260807,-4.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260807,-4.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260807,-8.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,2Nm,30,20260807,-8.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260807,0.0,TF-SVM early fusion,0.8785,0.9085948727882108,0.8785000000000001,0.8841038937030531
KAIST-noise,4Nm,30,20260807,0.0,TF-SVM late fusion,0.9675,0.9706716417910448,0.9675,0.9675386800378734
KAIST-noise,4Nm,30,20260807,-4.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260807,-4.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260807,-8.0,TF-SVM early fusion,0.2,0.04,0.2,0.06666666666666668
KAIST-noise,4Nm,30,20260807,-8.0,TF-SVM late fusion,0.2,0.04,0.2,0.06666666666666668
KAIST,2Nm,5,20260808,0.0,TF-SVM early fusion,0.51,0.4403380726862484,0.51,0.4571166371927869
KAIST,2Nm,5,20260808,0.0,TF-SVM late fusion,0.903,0.9069151083638449,0.9030000000000001,0.9024451815752496
KAIST,4Nm,5,20260808,0.0,TF-SVM early fusion,0.5115,0.44116617330053354,0.5115000000000001,0.4610815292073135
KAIST,4Nm,5,20260808,0.0,TF-SVM late fusion,0.836,0.8576652787099324,0.836,0.8374096608003121
KAIST,2Nm,10,20260808,0.0,TF-SVM early fusion,0.8335,0.8436942423849544,0.8334999999999999,0.8309046101035718
KAIST,2Nm,10,20260808,0.0,TF-SVM late fusion,0.962,0.9661460285413067,0.9620000000000001,0.9618196801498824
KAIST,4Nm,10,20260808,0.0,TF-SVM early fusion,0.7795,0.8132151745941816,0.7795,0.7831922525564315
KAIST,4Nm,10,20260808,0.0,TF-SVM late fusion,0.923,0.930148694653408,0.923,0.922593741126839
KAIST,2Nm,15,20260808,0.0,TF-SVM early fusion,0.8995,0.8995039118576417,0.8995000000000001,0.8992657193965489
KAIST,2Nm,15,20260808,0.0,TF-SVM late fusion,0.9635,0.9638161644898486,0.9635,0.9633642797225516
KAIST,4Nm,15,20260808,0.0,TF-SVM early fusion,0.835,0.858341205912547,0.835,0.8403232297427877
KAIST,4Nm,15,20260808,0.0,TF-SVM late fusion,0.931,0.9388596143313123,0.931,0.9324363842368573
KAIST,2Nm,20,20260808,0.0,TF-SVM early fusion,0.9055,0.908486290936786,0.9055,0.9045272994924576
KAIST,2Nm,20,20260808,0.0,TF-SVM late fusion,0.9865,0.9865040425964062,0.9865,0.9864793504942189
