source_type,reference_type,source_table,case,load,n_train,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,macro_precision_mean,macro_precision_sd,macro_recall_mean,macro_recall_sd,runs,retained_after_trim,aggregation,benchmark_scope,comparison_type
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,15,Full MHFL-MCA,0.9816,0.0068,0.9815,0.0068,0.9818,0.0069,0.9908125,0.01636294880973478,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,20,Full MHFL-MCA,0.9921,0.0042,0.9921,0.0042,0.9921,0.0042,0.9846250000000001,0.0309058550278099,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,25,Full MHFL-MCA,0.992,0.0033,0.992,0.0033,0.9921,0.0033,0.993375,0.010233981385560587,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 9,KAIST,2Nm,30,Full MHFL-MCA,0.9999,0.0002,0.9999,0.0002,0.9999,0.0002,0.9999375,0.0001653594569415187,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,5,MRCFN,0.5384,0.0568,0.5288,0.0612,0.5562,0.0631,0.5993125,0.05043618337810668,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,10,MRCFN,0.5932,0.0574,0.5842,0.0631,0.6146,0.0655,0.70025,0.06376274382427409,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,15,MRCFN,0.6367,0.0535,0.6295,0.0572,0.653,0.06,0.6975625000000001,0.06798779187287964,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,20,MRCFN,0.6735,0.0496,0.6698,0.0522,0.6856,0.0539,0.731,0.06187739894339451,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,25,MRCFN,0.7016,0.047,0.6998,0.0478,0.7094,0.0486,0.7835,0.07398479573534009,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,30,MRCFN,0.7318,0.0404,0.7307,0.0408,0.7377,0.0412,0.7798125,0.05352390674969455,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 10,KAIST,4Nm,5,CFFN,0.528,0.0536,0.5186,0.0608,0.5522,0.0688,0.466125,0.08194653363626801,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
