protocol,load,condition,model_seed,noise_repeat,weight_vibration,weight_current,accuracy,macro_precision,macro_recall,macro_f1,weight_branch1_within_sd,weight_branch2_within_sd
stage3,4Nm,current_severe,20260807,3,0.5145103931427002,0.4854896664619446,0.8155,0.9040312093628089,0.8155000000000001,0.765639420529177,0.12345687299966812,0.12345687299966812
stage3,4Nm,current_severe,20260807,4,0.5141274929046631,0.4858725070953369,0.8155,0.9040312093628089,0.8155000000000001,0.765639420529177,0.12368834763765335,0.12368834763765335
stage3,4Nm,current_severe,20260807,5,0.5146292448043823,0.4853707253932953,0.813,0.903359173126615,0.813,0.7606993465620526,0.12363644689321518,0.12363644689321518
stage3,4Nm,both_severe,20260807,1,0.5060213208198547,0.49397870898246765,0.5295,0.6016624827273677,0.5295,0.4555977621627278,0.0755380317568779,0.0755380317568779
stage3,4Nm,both_severe,20260807,2,0.5068254470825195,0.49317455291748047,0.533,0.5998964622758087,0.533,0.46266629360100114,0.07593660056591034,0.07593660056591034
stage3,4Nm,both_severe,20260807,3,0.5066632032394409,0.4933367967605591,0.5245,0.5970446711797167,0.5245,0.45149903199454106,0.07427947968244553,0.07427947968244553
stage3,4Nm,both_severe,20260807,4,0.5058109164237976,0.4941890835762024,0.535,0.5961002496894009,0.535,0.4683862085099766,0.07642587274312973,0.07642586529254913
stage3,4Nm,both_severe,20260807,5,0.5075945854187012,0.4924054443836212,0.528,0.5795400088843781,0.528,0.45335311625840713,0.07428465038537979,0.07428465038537979
stage3,2Nm,baseline_0dB,20260808,1,0.6803807616233826,0.3196192979812622,1.0,1.0,1.0,1.0,0.04187816008925438,0.04187816008925438
stage3,2Nm,baseline_0dB,20260808,2,0.6807417273521423,0.31925827264785767,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.04166056960821152,0.04166056960821152
stage3,2Nm,baseline_0dB,20260808,3,0.680717945098877,0.31928205490112305,1.0,1.0,1.0,1.0,0.04154272377490997,0.04154272377490997
stage3,2Nm,baseline_0dB,20260808,4,0.6805561780929565,0.31944388151168823,1.0,1.0,1.0,1.0,0.04179677739739418,0.04179677739739418
stage3,2Nm,baseline_0dB,20260808,5,0.6807922124862671,0.3192077577114105,1.0,1.0,1.0,1.0,0.04157119616866112,0.04157119616866112
stage3,2Nm,vibration_missing,20260808,1,0.6468508243560791,0.3531492352485657,0.2,0.04,0.2,0.06666666666666668,0.00018496386473998427,0.0001849651162046939
stage3,2Nm,current_missing,20260808,1,0.7000331878662109,0.2999667227268219,1.0,1.0,1.0,1.0,0.04136960953474045,0.04136960953474045
stage3,2Nm,vibration_severe,20260808,1,0.6174594163894653,0.38254058361053467,0.695,0.8173349279174055,0.6950000000000001,0.6733246124198445,0.02908017486333847,0.02908017486333847
stage3,2Nm,vibration_severe,20260808,2,0.6173768639564514,0.3826231062412262,0.699,0.8236802079838149,0.699,0.6715772803206488,0.02908710576593876,0.02908710576593876
stage3,2Nm,vibration_severe,20260808,3,0.6169675588607788,0.3830324709415436,0.7,0.8265745155429748,0.7,0.6720257368469611,0.029218563809990883,0.029218563809990883
stage3,2Nm,vibration_severe,20260808,4,0.6175428628921509,0.3824572265148163,0.6905,0.8061044798841577,0.6904999999999999,0.6621372896633068,0.028968654572963715,0.028968654572963715
stage3,2Nm,vibration_severe,20260808,5,0.6172734498977661,0.38272660970687866,0.688,0.8124396493047323,0.688,0.6621900440531064,0.029393745586276054,0.029393747448921204
stage3,2Nm,current_severe,20260808,1,0.6652886867523193,0.3347112536430359,0.9985,0.9985111662531019,0.9984999999999999,0.9984999789059532,0.04236476495862007,0.04236476495862007
stage3,2Nm,current_severe,20260808,2,0.6656503677368164,0.33434954285621643,0.999,0.9990012468827931,0.999,0.9989999992187488,0.04215522110462189,0.04215522110462189
stage3,2Nm,current_severe,20260808,3,0.6656382083892822,0.33436182141304016,0.999,0.9990049751243781,0.999,0.998999993749961,0.04199637100100517,0.04199637100100517
stage3,2Nm,current_severe,20260808,4,0.6654946208000183,0.3345053791999817,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.04222124069929123,0.04222123697400093
stage3,2Nm,current_severe,20260808,5,0.6656927466392517,0.3343072533607483,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.04208701103925705,0.04208701103925705
stage3,2Nm,both_severe,20260808,1,0.6031955480575562,0.3968045115470886,0.7865,0.8331226825230968,0.7865,0.785933336658603,0.029196441173553467,0.029196441173553467
stage3,2Nm,both_severe,20260808,2,0.603022575378418,0.39697742462158203,0.7845,0.8396488833274498,0.7845,0.7860903979725352,0.02939382754266262,0.02939382754266262
stage3,2Nm,both_severe,20260808,3,0.6027016639709473,0.39729833602905273,0.7805,0.8342123598456255,0.7805,0.7823750336455664,0.029383985325694084,0.029383985325694084
stage3,2Nm,both_severe,20260808,4,0.6034085750579834,0.396591454744339,0.781,0.8310147567692198,0.781,0.7817929357357011,0.02916855178773403,0.02916855178773403
stage3,2Nm,both_severe,20260808,5,0.6029049158096313,0.3970951437950134,0.781,0.833658395819438,0.781,0.7817510468464073,0.029673881828784943,0.029673881828784943
stage3,4Nm,baseline_0dB,20260808,1,0.6832939386367798,0.3167060613632202,0.999,0.9990049751243781,0.999,0.998999993749961,0.04067181050777435,0.04067181050777435
stage3,4Nm,baseline_0dB,20260808,2,0.6833068132400513,0.31669318675994873,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.040595270693302155,0.040595270693302155
stage3,4Nm,baseline_0dB,20260808,3,0.68329918384552,0.3167007267475128,0.9985,0.9985111662531019,0.9984999999999999,0.9984999789059532,0.04069192335009575,0.04069192335009575
stage3,4Nm,baseline_0dB,20260808,4,0.6835159063339233,0.3164840638637543,0.999,0.9990049751243781,0.999,0.998999993749961,0.040565527975559235,0.040565527975559235
stage3,4Nm,baseline_0dB,20260808,5,0.6835439205169678,0.31645604968070984,0.999,0.9990049751243781,0.999,0.998999993749961,0.04051883518695831,0.040518831461668015
stage3,4Nm,vibration_missing,20260808,1,0.6468109488487244,0.35318902134895325,0.2,0.04,0.2,0.06666666666666668,0.0001809783570934087,0.00018097810971084982
stage3,4Nm,current_missing,20260808,1,0.7028588652610779,0.29714104533195496,0.8035,0.9008827238335435,0.8035,0.7409952816490957,0.04079272970557213,0.04079272970557213
stage3,4Nm,vibration_severe,20260808,1,0.6188554763793945,0.38114452362060547,0.6775,0.8065867271851932,0.6775,0.648714050315735,0.028099408373236656,0.028099410235881805
stage3,4Nm,vibration_severe,20260808,2,0.6178663969039917,0.3821336030960083,0.668,0.7994574057693253,0.6679999999999999,0.6375670406929014,0.027192916721105576,0.027192914858460426
stage3,4Nm,vibration_severe,20260808,3,0.6182056665420532,0.3817943334579468,0.668,0.8008452099145315,0.6679999999999999,0.641458305808794,0.028284259140491486,0.028284261003136635
stage3,4Nm,vibration_severe,20260808,4,0.6185051202774048,0.3814949095249176,0.6805,0.8053531515470873,0.6805000000000001,0.650582607919779,0.027995524927973747,0.02799552120268345
stage3,4Nm,vibration_severe,20260808,5,0.6187053918838501,0.3812946081161499,0.672,0.8061555061833421,0.672,0.639912545381047,0.02834613248705864,0.02834613248705864
stage3,4Nm,current_severe,20260808,1,0.668168842792511,0.3318311870098114,0.904,0.9351351351351351,0.9039999999999999,0.8981324278438031,0.04119190201163292,0.04119190201163292
stage3,4Nm,current_severe,20260808,2,0.6682142019271851,0.33178582787513733,0.9095,0.9363755353671476,0.9095000000000001,0.9048248814067856,0.0410904623568058,0.0410904623568058
stage3,4Nm,current_severe,20260808,3,0.6681884527206421,0.33181148767471313,0.91,0.9372683564393409,0.9099999999999999,0.9053039471484959,0.04120810702443123,0.04120811074972153
stage3,4Nm,current_severe,20260808,4,0.6684153079986572,0.3315846621990204,0.907,0.9365187713310581,0.907,0.9016854860555925,0.04105692356824875,0.04105692356824875
stage3,4Nm,current_severe,20260808,5,0.6684168577194214,0.3315831422805786,0.9105,0.9375114435117228,0.9105000000000001,0.9058849846827997,0.041044484823942184,0.041044484823942184
stage3,4Nm,both_severe,20260808,1,0.6042104363441467,0.39578956365585327,0.7625,0.8100616644545824,0.7625,0.7636608250700455,0.02826862968504429,0.02826862968504429
stage3,4Nm,both_severe,20260808,2,0.6033554673194885,0.39664456248283386,0.7495,0.8030910085501969,0.7495,0.7507320314721186,0.027316037565469742,0.02731603942811489
stage3,4Nm,both_severe,20260808,3,0.603678822517395,0.396321177482605,0.7435,0.7933494583323142,0.7435,0.7449339812305621,0.02829953283071518,0.02829953283071518
stage3,4Nm,both_severe,20260808,4,0.6038695573806763,0.39613044261932373,0.762,0.8129871375533897,0.7620000000000001,0.763543501625495,0.028052452951669693,0.028052454814314842
stage3,4Nm,both_severe,20260808,5,0.604257345199585,0.3957427442073822,0.766,0.8105489592388594,0.766,0.7674534697094509,0.02845771051943302,0.02845771051943302
